*******************************************************************************
Ephemeris / WWW_USER Sun Apr 23 09:14:48 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Kitt Peak
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jan-08 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 248.405300,31.9584502,2.0709438 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 248.405300,5418.25536,3357.6195 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.170421.p170713                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-APR-21. PREDICTS-> 2017-JUL-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), Azi_(a-app), Elev_(a-app), L_Ap_Sid_Time,   Illu%,
*************************************************************************************************************************************
$$SOE
 2020-Jan-01 00:00, 2458849.500000000,*,m,348.92361,-10.69045, 179.0504, 47.4527, 23.2349526385,  29.790,
 2020-Jan-01 01:00, 2458849.541666667,N,m,349.19298,-10.50591, 200.0321, 45.5401,  0.2376905192,  30.007,
 2020-Jan-01 02:00, 2458849.583333333, ,m,349.47468,-10.31223, 218.0863, 39.5974,  1.2404283992,  30.236,
 2020-Jan-01 03:00, 2458849.625000000, ,m,349.78104,-10.11077, 232.3122, 30.8630,  2.2431662785,  30.486,
 2020-Jan-01 04:00, 2458849.666666667, ,m,350.12254, -9.90337, 243.4851, 20.4326,  3.2459041572,  30.765,
 2020-Jan-01 05:00, 2458849.708333333, ,m,350.50708, -9.69215, 252.6730,  9.0260,  4.2486420354,  31.078,
 2020-Jan-01 06:00, 2458849.750000000, , ,350.93953, -9.47933, 260.7674, -2.9133,  5.2513799128,  31.428,
 2020-Jan-01 07:00, 2458849.791666667, , ,351.42148, -9.26706, 268.5049,-15.0924,  6.2541177897,  31.816,
 2020-Jan-01 08:00, 2458849.833333333, , ,351.95130, -9.05729, 276.6235,-27.2745,  7.2568556661,  32.241,
 2020-Jan-01 09:00, 2458849.875000000, , ,352.52435, -8.85166, 286.1087,-39.1913,  8.2595935418,  32.698,
 2020-Jan-01 10:00, 2458849.916666667, , ,353.13339, -8.65140, 298.6454,-50.3990,  9.2623314169,  33.184,
 2020-Jan-01 11:00, 2458849.958333333, , ,353.76906, -8.45731, 317.3977,-59.9342, 10.2650692916,  33.689,
 2020-Jan-01 12:00, 2458850.000000000, , ,354.42051, -8.26974, 346.3262,-65.6295, 11.2678071658,  34.207,
 2020-Jan-01 13:00, 2458850.041666667,A, ,355.07599, -8.08862,  20.5812,-64.6846, 12.2705450394,  34.728,
